Genus_SCI,Genus_CN
Automolus,栗冠拾叶雀
Aviceda,鹃隼属
Avocettula,翘嘴蜂鸟
Aythya,潜鸭属
Baeolophus,白眉冠山雀
Baeopogon,白尾属
Balaeniceps,鲸头属
Balearica,灰冕鹤
Bambusicola,竹鸡属
Bangsia,黄绿灌丛唐纳雀
Barnardius,黑头属
Bartramia,高原属
Baryphthengus,棕翠属
Basileuterus,扇尾森莺
Basilinna,白耳蜂鸟
Basilornis,苏拉威西王椋鸟
Batara,巨蚁属
Bathilda,星雀
Bathmocercus,黑头棕莺
Batis,鲁文蓬背鹟
Batrachostomus,蛙嘴夜鹰属
Berenicornis,白冠犀鸟
Berlepschia,尖尾棕榈雀
Bermuteo,百慕属
Bernieria,长嘴马岛莺
Bias,黑白鵙鹟
Biatas,白须属
Biziura,麝鸭
Bleda,须鹎属
Blythipicus,噪啄木鸟属
Bocagia,小红属
Boissonneaua,黄尾冕蜂鸟
Bolbopsittacus,菲律属
Bolborhynchus,横斑属
Bolemoreus,暗喉吸蜜鸟
Bombycilla,太平鸟属
Bonasa,披肩属
Bostrychia,绿背属
Botaurus,麻鳽属
Brachycope,短尾织雀
Brachygalba,乌背鹟
Brachypodius,灰头属
Brachypteracias,短腿地三宝鸟
Brachypteryx,短翅鸫属
Brachyramphus,斑海雀属
Bradornis,暗蓝鹟
Bradypterus,灌丛短翅莺
Branta,黑雁属
Brotogeris,图伊属
Brunhilda,红腰梅花雀
Bubalornis,白嘴牛文鸟
Bubo,鵰鸮属
Bubulcus,牛背鹭属
Bucanetes,沙雀
Buccanodon,黄斑拟啄木鸟
Bucco,栗顶属
Bucephala,鹊鸭属
Buceros,犀鸟属
Bucorvus,地犀鸟
Bulweria,纯褐鹱属
Buphagus,黄嘴牛椋鸟
Burhinus,石鸻属
Busarellus,黑领鹰
Butastur,鵟鹰属
Buteo,鵟属
Buteogallus,青灰属
Buthraupis,黑头山裸鼻雀
Butorides,绿鹭属
Bycanistes,笛声噪犀鸟
Cabalus,新喀属
Cacatua,彩冠属
Cacicus,黑酋长鹂
Cacomantis,栗胸属
Cairina,疣鼻栖鸭
Calamanthus,田刺莺
Calamonastes,灰拱翅莺
Calamonastides,细嘴捕蝇莺
Calamospiza,白斑属
Calandrella,短趾百灵属
Calcarius,铁爪鹀属
