Genus_SCI,Genus_CN
Gyps,兀鹫属
Gypsophila,山鹪鹛
Habia,红头蚁唐纳雀
Habroptila,华氏属
Haematoderus,绯红果伞鸟
Haematopus,蛎鹬属
Haematortyx,红头属
Haemorhous,紫朱雀
Hafferia,乌蚁鸟
Halcyon,翡翠属
Haliaeetus,海鵰属
Haliastur,栗鸢属
Halobaena,蓝鹱属
Hamirostra,黑胸属
Hapalopsittaca,锈脸属
Hapaloptila,白脸属
Haplophaedia,淡绿蓬腿蜂鸟
Haplospiza,纯灰雀
Harpactes,咬鹃属
Harpagus,双齿属
Harpia,角雕属
Harpyopsis,新几属
Hartertula,楔尾马岛莺
Hartlaubius,马岛属
Hedydipna,环颈直嘴太阳鸟
Heinrichia,大短翅鸫
Heleia,灰喉冠绣眼鸟
Heliactin,角蜂鸟
Heliangelus,橙喉领蜂鸟
Helicolestes,黑臀属
Heliobletus,尖嘴树猎雀
Heliodoxa,黑眉辉蜂鸟
Heliomaster,长嘴星喉蜂鸟
Heliopais,亚洲属
Heliornis,日䴘属
Heliothraupis,明黄唐加拉雀
Heliothryx,紫冠仙蜂鸟
Hellmayrea,白眉针尾雀
Helmitheros,食虫森莺
Helopsaltes,苍眉蝗莺
Hemicircus,灰黄啄木鸟
Hemignathus,短镰嘴雀
Hemiphaga,新西兰鸠
Hemiprocne,凤头雨燕属
Hemipus,鹊鵙属
Hemitesia,淡脚树莺
Hemithraupis,黄背裸鼻雀
Hemitriccus,淡褐胸侏霸鹟
Hemixos,灰短属
Henicopernis,长尾属
Henicophaps,白顶属
Henicorhina,白胸林鹩
Herpetotheres,笑隼属
Herpsilochmus,乌顶蚁鹩
Hesperiphona,黄昏锡嘴雀
Hesperoburhinus,双纹属
Heteralocha,镰嘴垂耳鸦
Heterocercus,橙顶娇鹟
Heteromirafra,阿氏歌百灵
Heteromunia,斑胸文鸟
Heteromyias,地丛鹟
Heteronetta,黑头鸭
Heterophasia,奇鹛属
Heteroscenes,淡色属
Heterospingus,黄腰红眉唐纳雀
Heterotetrax,黑喉属
Heteroxenicus,栗背短翅鸫
Heteroxolmis,黑白蒙霸鹟
Hieraaetus,隼鵰属
Hierococcyx,小鹰
Himantopus,长脚鹬属
Himantornis,噪秧属
Himatione,白臀蜜雀
Hippolais,淡色篱莺
Hirundapus,针尾雨燕属
Hirundinea,峭壁霸鹟
Hirundo,燕属
Histrionicus,丑鸭属
Histurgops,棕尾织雀
Hoploxypterus,杂色属
Horizocerus,西黑弯嘴犀鸟
Horornis,菲律宾树莺
Houbaropsis,南亚属
Humblotia,哈氏鹟
Hydrobates,暴风海燕
Hydrochous,瀑布雨燕
Hydrocoloeus,小鸥属
Hydrophasianus,水雉属
Hydroprogne,巨鸥属
Hydropsalis,白尾夜鹰
Hydrornis,双辫八色鸫
Hylacola,怯地刺莺
Hylexetastes,斑腹䴕雀
Hylia,绿莺
Hyliota,黄腹丛莺
Hylocharis,棕喉红嘴蜂鸟
Hylocichla,棕林鸫
Hylocitrea,林啸鹟
Hylomanes,短尾属
Hylonympha,剪尾蜂鸟
Hylopezus,纹胸蚁鸫
Hylophilus,灰眼绿莺雀
Hylophylax,点斑蚁鸟
Hylopsar,紫头辉椋鸟
Hylorchilus,细嘴鹪
Hymenolaimus,山鸭
Hymenops,斑眼霸鹟
Hypargos,朱胸斑雀
Hypergerus,鹂莺
Hypnelus,黄喉属
Hypocharmosyna,红斑属
Hypocnemis,歌蚁鸟
Hypocnemoides,黑颏蚁鸟
Hypocolius,灰连雀
Hypocryptadius,桂红绣眼雀
Hypoedaleus,斑背属
Hypopyrrhus,红腹拟鹩
Hypositta,红嘴属
Hypotaenidia,冲绳属
Hypothymis,黑枕王鹟属
Hypsipetes,短脚鹎属
Ianthocincla,黑额山噪鹛
Ibidorhyncha,鹮嘴鹬属
Ibycter,红喉属
Ichthyaetus,渔鸥属
Icteria,黄胸大䳭莺
Icterus,斯氏拟鹂
Icthyophaga,非洲属
Ictinaetus,林鵰属
Ictinia,密西属
Idiopsar,红背岭雀
Iduna,黄捕蝇莺
Ifrita,蓝顶鹛
Ilicura,针尾娇鹟
Illadopsis,褐非洲雅鹛
Incana,索岛鹪莺
Incaspiza,大印加雀
Indicator,响密鴷属
Inezia,细嘴姬霸鹟
Iodopleura,黄喉紫须伞鸟
Iole,芬氏属
Irania,白喉属
Irediparra,冠水雉
Irena,和平鸟属
Iridophanes,金领旋蜜雀
Iridosornis,紫背彩裸鼻雀
Isleria,淡喉蚁鹩
Ispidina,红头小翠鸟
Ithaginis,血雉属
Ixobrychus,苇鳽属
Ixodia,小褐属
Ixonotus,斑鹎属
Ixoreus,杂色鸫
Ixos,条纹属
Ixothraupis,蓝翅靓唐纳雀
Jabiru,裸颈属
Jacamaralcyon,三趾鹟
Jacamerops,大鹟
Jacana,美洲水雉
Jubula,鬃鸮属
Junco,黄眼属
Jynx,蚁属
Kakamega,灰胸雅鹛
Kaupifalco,食蜥属
Kempiella,绿小鹟
Kenopia,纹鹪鹛
Ketupa,渔鸮属
Klais,紫头蜂鸟
Kleinothraupis,灰顶拟雀
Knipolegus,蓝嘴黑霸鹟
Kurochkinegramma,蓝枕花蜜鸟
Lacedo,横斑翠鸟
Lafresnaya,绒胸蜂鸟
Lagonosticta,红嘴火雀
Lagopus,雷鸟属
Lalage,斑鸣属
Lampornis,白腹宝石蜂鸟
Lamprolaima,红喉蜂鸟
Lamprolia,小丝尾阔嘴鹟
Lampropsar,绒额拟鹩
Lamprospiza,红嘴唐纳雀
Lamprotornis,红肩辉椋鸟
Laniarius,白嘴属
Laniellus,灰冠南洋鹛
Laniisoma,安第斯鵙伞鸟
Lanio,白翅属
Laniocera,点斑伞鸟
Lanioturdus,白尾鵙鹟
Lanius,伯劳属
Larosterna,印加燕
Larus,鸥属
Larvivora,蓝歌属
Laterallus,达尔属
Lathamus,红尾属
Lathrotriccus,南美纹霸鹟
Laticilla,长尾山鹪鹛
Legatus,强霸鹟
Leiopicus,黄冠斑啄木鸟
Leioptila,栗背奇鹛
Leiothlypis,灰冠虫森莺
Leiothrix,相思鸟属
Leipoa,斑塚雉
Leistes,彭巴草地鹨
Leonardina,菲律宾鹛
Lepidocolaptes,白纹䴕雀
Lepidopygia,马岛文鸟
Lepidothrix,柔羽娇鹟
Leptasthenura,褐顶针尾雀
Leptocoma,紫腰花蜜鸟
Leptodon,灰头属
Leptopoecile,雀莺属
Leptopogon,棕顶窄嘴霸鹟
Leptopterus,黑钩属
Leptoptilos,秃鹳属
Leptosittaca,金羽属
Leptosomus,鹃三宝鸟
Leptotila,白额棕翅鸠
Leptotrygon,绿背鹑鸠
Lerwa,雪鹑属
Lesbia,黑带尾蜂鸟
Lessonia,萨氏小霸鹟
Leucippus,淡黄蜂鸟
Leucocarbo,岩鸬属
Leucochloris,白喉蜂鸟
Leucogeranus,白鹤
Leuconotopicus,红顶啄木鸟
Leucopeza,淡脚森莺
Leucophaeus,灰鸥属
Leucophantes,白胸杂色鹟
Leucopsar,长冠属
Leucopternis,淡灰属
Leucoptilon,白尾蓝仙鹟
Leucosarcia,巨地鸠
Leucosticte,岭雀属
Lewinia,灰胸属
Lichenostomus,黄冠吸蜜鸟
Lichmera,绿岩吸蜜鸟
Limnoctites,直嘴芦雀
Limnodromus,半蹼鹬属
Limnornis,弯嘴芦雀
Limnothlypis,斯氏森莺
Limosa,塍鹬属
Linaria,黄嘴朱顶雀
Linurgus,鹂雀
Liocichla,薮鹛属
Lioparus,金胸雀
Liosceles,锈纹窜鸟
Lipaugus,棕伞鸟
Lissotis,褐黑属
Loboparadisea,黄胸短嘴极乐鸟
Lobotos,加纳属
Lochmias,尖尾溪雀
Locustella,蝗莺属
Loddigesia,叉扇尾蜂鸟
Lonchura,文鸟属
Lophaetus,长冠鹰
Lophoceros,南非弯嘴犀鸟
Lophodytes,棕胁秋沙鸭
Lophoictinia,方尾属
Lopholaimus,髻鸠
Lophonetta,冠鸭
Lophophanes,凤头山雀
Lophophorus,虹雉属
Lophopsittacus,毛里属
Lophorina,华美极乐鸟
Lophornis,缨冠蜂鸟
Lophospingus,灰冠雀
Lophospiza,凤头鹰
Lophostrix,冠鸮属
Lophotibis,凤头属
Lophotis,萨氏属
Lophotriccus,鳞冠侏霸鹟
Lophotriorchis,棕腹属
Lophura,鹇属
Loriculus,短尾鹦鹉属
Loriotus,火冠黑唐纳雀
Lorius,白枕属
Loxia,交嘴雀属
Loxigilla,巴巴多斯牛雀
Loxioides,黄胸管舌雀
Loxipasser,黄肩草雀
Loxops,夏威夷悬木雀
Lullula,林百灵
Lurocalis,半领夜鹰
Luscinia,歌鸲属
Lybius,横斑拟啄木鸟
Lycocorax,褐翅极乐鸟
Lymnocryptes,姬鹬属
Lyncornis,马来毛腿夜鹰
Lyrurus,琴鸡属
Macgregoria,麦氏饮蜜鸟
Machaerirhynchus,黄胸船嘴鹟
Machaeropterus,梅花翅娇鹟
Macheiramphus,食蝠属
Machetornis,牛霸鹟
Machlolophus,白枕山雀
Mackenziaena,大尾属
Macroagelaius,山拟鹩
Macrocephalon,塚雉
Macronectes,巨鹱属
Macronus,绒背纹胸鹛
Macronyx,夏氏属
Macropsalis,燕尾夜鹰
Macropygia,鹃鸠属
Macrosphenus,黄长嘴莺
Magumma,小绿雀
Malacocincla,阿氏雅鹛
Malaconotus,红胸属
Malacopteron,纯色树鹛
Malacoptila,月胸属
Malacorhynchus,红耳鸭
Malcorus,棕耳鹪莺
Malia,苏拉威西鹛
Malimbus,朱顶精织雀
Malindangia,尖尾属
Malurus,蓝细尾鹩莺
Manacus,白须娇鹟
Mandingoa,绿背斑雀
Manorina,矿吸蜜鸟
Manucodia,黑辉极乐鸟
Mareca,赤膀鸭
Margarobyas,古巴属
Margaroperdix,马岛属
Margarops,珠眼嘲鸫
Margarornis,华丽爬树雀
Marmaronetta,云石斑鸭属
Mascarinus,马斯属
Masius,金翅娇鹟
Mayrimunia,纹头文鸟
Mayrornis,蓝灰鹟
Mazaria,白腹针尾雀
Mearnsia,菲律宾针尾雨燕
Mecocerculus,白喉姬霸鹟
Megabyas,非洲鵙鹟
Megaceryle,冠鱼属
Megacrex,新几属
Megadyptes,黄眼企鹅属
Megalampitta,大黑脚风鸟
Megalurus,大尾莺属
Megapodius,汤加塚雉
Megarynchus,船嘴霸鹟
Megascops,长耳属
Megastictus,珠翅属
Megatriorchis,多氏鹰
Megaxenops,大翘嘴雀
Megazosterops,帕劳绣眼鸟
Meiglyptes,黄腰啄木鸟
Melaenornis,安哥拉黑鹟
Melampitta,小黑脚风鸟
Melamprosops,毛岛蜜雀
Melanerpes,白啄木鸟
Melaniparus,白肩黑山雀
Melanitta,海番鸭属
Melanocharis,暗色啄果鸟
Melanochlora,冕雀属
Melanocichla,黑噪鹛
Melanocorypha,百灵属
Melanodera,黑喉雀
Melanodryas,冠鸲鹟
Melanopareia,领月胸窜鸟
Melanoperdix,黑鹑属
Melanoptila,黑嘲鸫
Melanorectes,黑林鵙鹟
Melanospiza,圣卢西亚黑雀
Melanotis,蓝嘲鸫
Meleagris,火鸡属
Meliarchus,圣克里吸蜜鸟
Melichneutes,琴尾属
Melidectes,棕眉寻蜜鸟
Melidora,钩嘴翠鸟
Melierax,暗色歌鹰
Melignomon,中非属
Melilestes,巨嘴盗蜜鸟
Melionyx,暗寻蜜鸟
Meliphacator,黄脸肉垂吸蜜鸟
Meliphaga,蓬背吸蜜鸟
Melipotes,阿法饮蜜鸟
Melithreptus,黑颏抚蜜鸟
Melitograis,摩鹿加吮蜜鸟
Mellisuga,小吸蜜蜂鸟
Melloria,黑钟鹊
Melocichla,须薮莺
Melopsittacus,虎皮属
Melopyrrha,波多黎各牛雀
Melospiza,歌带属
Melozone,锈顶地雀
Menelikornis,白颊属
Mentocrex,马岛属
Menura,艾氏琴鸟
Merganetta,湍鸭
Mergellus,斑头秋沙鸭
Mergus,秋沙鸭属
Meropogon,须蜂属
Merops,蜂虎属
Merulaxis,须额窜鸟
Mesembrinibis,绿鹮属
Mesitornis,白胸属
Metabolus,特鲁克鹟
Metallura,紫辉尾蜂鸟
Metopidius,铜翅水雉属
Metopothrix,橙额绒顶雀
Metriopelia,裸脸地鸠
Micrastur,斑林属
Micrathene,娇鸺属
Microbates,半领蚋莺
Microcarbo,侏鸬属
Microcerculus,夜莺
Microchera,白顶蜂鸟
Microdynamis,黑顶属
Microeca,金腹小鹟
Microgoura,冕鸠
Microhierax,小隼属
Microligea,绿尾地唐纳雀
Micromacronus,小雀
Micromonacha,矛蓬属
Micronisus,小歌鹰
Microparra,小雉
Micropsitta,黄顶属
Micropternus,栗啄木鸟
Microptilotis,斑胸吸蜜鸟
Microrhopias,斑翅蚁鹩
Microspingus,三道眉拟雀
Microspizias,侏鹰
Microstilbon,细尾林星蜂鸟
Microtarsus,黑白属
Microxenops,棕尾翘嘴雀
Milvago,黄头属
Milvus,鸢属
Mimus,小嘲鸫
Minla,希鹛属
Mino,黄脸属
Mionectes,纹颈霸鹟
Mirafra,歌百灵属
Mitrephanes,领霸鹟
Mitrospingus,乌脸唐纳雀
Mitu,无冠盔嘴雉
Mixornis,灰脸纹胸鹛
Mniotilta,黑白森莺
Modulatrix,斑喉属
Moho,考岛吸蜜鸟
Mohoua,黄头刺莺
Molothrus,啸声牛鹂
Momotus,锈顶属
Monachella,特岛鸲鹟
Monarcha,岛王鹟
Monasa,黑䴕属
Monias,本氏属
Montecincla,白胸噪鹛
Monticola,矶鸫属
Montifringilla,雪雀属
Morococcyx,小地属
Morphnarchus,横斑属
Morphnus,冠雕属
Morus,北鲣鸟
Motacilla,鹡鸰属
Moupinia,宝兴鹛雀属
Mulleripicus,灰啄木鸟属
Mundia,阿森属
Muscicapa,鹟属
Muscigralla,短尾田霸鹟
Muscipipra,剪尾灰霸鹟
Muscisaxicola,斑嘴地霸鹟
Mustelirallus,灰喉属
Myadestes,褐背孤鸫
Mycerobas,拟蜡嘴属
Mycteria,鹮鹳属
Myiagra,特岛阔嘴鹟
Myiarchus,棕蝇霸鹟
Myiobius,茶胸黄腰霸鹟
Myioborus,彩鸲莺
Myiodynastes,金腹大嘴霸鹟
Myiomela,白尾属
Myiopagis,林伊拉鹟
Myiophobus,黄斑翅霸鹟
Myiopsitta,灰胸属
Myiornis,角侏霸鹟
Myiotheretes,纹喉丛霸鹟
Myiothlypis,柠黄王森莺
Myiotriccus,华丽霸鹟
Myiozetetes,锈边短嘴霸鹟
Myophonus,台湾紫啸鸫
Myopornis,伯氏鹟
Myornis,灰窜鸟
Myrmeciza,白腹蚁鸟
Myrmecocichla,蚁䳭属
Myrmelastes,铅色蚁鸟
Myrmia,短尾蜂鸟
Myrmoborus,黑尾蚁鸟
Myrmochanes,黑白蚁鸟
Myrmoderus,棕背蚁鸟
Myrmophylax,黑喉蚁鸟
Myrmorchilus,纹背蚁鹩
Myrmornis,斑翅蚁鸟
Myrmothera,白眼先蚁鸫
Myrmotherula,须蚁鹩
Myrtis,紫领蜂鸟
Mystacornis,克氏须鹛
Myza,暗耳汲蜜鸟
Myzomela,布氏摄蜜鸟
Myzornis,绿鹛属
Namibornis,拟鹟
Nannococcyx,圣赫属
Nannopsittaca,特布属
Nannopterum,弱翅属
Napothera,鹪鹛属
Nasica,长嘴䴕雀
Neafrapus,白腹针尾雨燕
Necropsar,罗迪椋鸟
Necropsittacus,罗德属
Necrosyrtes,斗篷属
Nectarinia,包氏花蜜鸟
Nemosia,黑顶唐纳雀
Nengetus,灰蒙霸鹟
Neochen,绿翅雁
Neochmia,赤胸星雀
Neocichla,白翅噪椋鸟
Neocossyphus,白尾蚁鸫
Neoctantes,黑丛属
Neodrepanis,弯嘴裸眉鸫
Neohierax,白腰属
Neolalage,棕腹鹟
Neolestes,黑领属
Neomixis,北杂鹛
Neomorphus,棕腹属
Neopelma,黄冠霸娇鹟
Neophedina,斑沙燕
Neophema,蓝翅属
Neophilydor,蓝灰拾叶雀
Neophron,白兀属
Neopipo,栗红霸鹟
Neopsephotus,伯氏属
Neopsittacus,马氏属
Neosericornis,黄喉丝刺莺
Neothraupis,白斑唐纳雀
Neotis,黑头属
Neoxolmis,黑顶蒙霸鹟
Nephelomyias,华丽斑翅霸鹟
Nephelornis,秘鲁森雀
Nesillas,马岛薮莺
Nesocharis,小绿背织雀
Nesoctites,安岛姬啄木鸟
Nesoenas,马岛斑鸠
Nesofregetta,白喉海燕
Nesophlox,巴哈马林星蜂鸟
Nesopsar,牙买加黑鹂
Nesoptilotis,白耳吸蜜鸟
Nesospingus,暗唐纳雀
Nesospiza,伊岛雀
Nesotriccus,科岛霸鹟
Nestor,啄羊属
Netta,狭嘴潜鸭属
Nettapus,棉凫属
Newtonia,暗牛顿莺
Nicator,黄翼属
Nigrita,白胸黑雀
Nilaus,非洲属
Niltava,仙鹟属
Ninox,鹰鸮属
Nipponia,朱鹮属
Nisaetus,华氏鹰
Nok,光脸属
Nomonyx,花脸硬尾鸭
Nonnula,锈胸属
Northiella,红腹属
Notharchus,白颈属
Nothocercus,林䳍属
Nothocrax,夜冠雉
Nothoprocta,斑䳍属
Nothura,拟䳍属
Notiomystis,须吸蜜鸟
Notopholia,黑腹辉椋鸟
Nucifraga,星鸦属
Numenius,杓鹬属
Numida,珠鸡属
Nyctanassa,黄冠夜鹭
Nyctibius,大钩嘴夜鹰
Nycticorax,夜鹭属
Nycticryphes,半领属
Nyctidromus,帕拉夜鹰
Nyctiphrynus,查岛夜鹰
Nyctipolus,暗色夜鹰
Nyctiprogne,斑尾夜鹰
Nyctyornis,夜蜂虎属
Nymphicus,鸡尾属
Nystalus,横斑属
Oceanites,黄蹼洋海燕
Ochetorhynchus,直嘴爬地雀
Ochthoeca,灰背唧霸鹟
Ochthornis,淡褐唧霸鹟
Ocreatus,盘尾蜂鸟
Ocyceros,印度灰犀鸟
Ocyphaps,冠鸠
Odontophorus,云斑属
Odontorchilus,灰背锯嘴鹪
Oedistoma,小弯嘴吸蜜鸟
Oena,小长尾鸠
Oenanthe,䳭属
Ognorhynchus,黄耳属
Oncostoma,北弯嘴霸鹟
Oneillornis,白喉蚁鸟
Onychognathus,红翅椋鸟
Onychoprion,白腰燕
Onychorhynchus,东皇霸鹟
Onychostruthus,白腰雪雀
Ophrysia,喜山属
Opisthocomus,麝雉
Opisthoprora,反嘴蜂鸟
Oporornis,灰喉地莺
Orchesticus,褐唐纳雀
Oreocharis,拟雀啄果鸟
Oreoica,冠钟鹟
Oreolais,黑领娇莺
Oreomystis,考岛悬木雀
Oreonympha,须蜂鸟
Oreophasis,角冠雉
Oreophilais,罗氏山鹪莺
Oreopholus,橙喉属
Oreopsar,玻利维亚拟鹂
Oreopsittacus,紫颊属
Oreornis,橙颊吸蜜鸟
Oreortyx,山翎属
Oreoscoptes,高山弯嘴嘲鸫
Oreoscopus,蕨鹩刺莺
Oreostruthus,红胁火尾雀
Oreothlypis,月胸森莺
Oreothraupis,拟唐纳雀
Oreotrochilus,安第斯山蜂鸟
Origma,山鼠莺
Oriolia,黑头莺
Oriolus,黄鹂属
Oriturus,纹雀
Ornithion,黄腹小霸鹟
Ornorectes,冠林钟鹟
Oroanassa,海南属
Orochelidon,淡脚南美燕
Ortalis,纯色小冠雉
Orthogonys,巴西绿唐纳雀
Orthonyx,新几内亚刺尾鸫
Orthopsittaca,红腹属
Orthorhyncus,凤头蜂鸟
Orthotomus,缝叶莺属
Ortygornis,凤头属
Ortygospiza,黑喉鹑雀
Ortyxelos,白翅属
Otidiphaps,雉鸠
Otis,大鸨属
Otus,角鸮属
Oxylabes,白喉马岛莺
Oxypogon,黄髯蜂鸟
Oxyruncus,尖喙霸鹟
Oxyura,硬尾鸭属
Pachycare,金脸啸鹟
Pachycephala,绿啸鹟
Pachycephalopsis,绿丛鹟
Pachycoccyx,厚嘴属
Pachyglossa,绿背锯齿啄花鸟
Pachyptila,阔嘴属
Pachyramphus,绿背厚嘴霸鹟
Pachysylvia,灰头绿莺雀
Padda,禾雀
Pagodroma,雪鹱属
Pagophila,白鸥属
Palmeria,冠旋蜜雀
Paludipasser,蝗鹑雀
Pampa,弯翅刀翅蜂鸟
Pampusana,韦岛鸡鸠
Pandion,鹗属
Panterpe,火喉蜂鸟
Panurus,文须雀属
Panyptila,大燕
Papasula,粉嘴鲣鸟
Parabuteo,栗翅鹰
Paraclaravis,紫翅地鸠
Paradigalla,长尾肉垂风鸟
Paradisaea,大极乐鸟
Paradisornis,蓝极乐鸟
Paradoxornis,鸦雀属
Paragallinula,小黑属
Paramythia,西冠啄果鸟
Parayuhina,白领凤鹛
Pardaliparus,黄腹山雀
Pardalotus,斑翅食蜜鸟
Pardipicus,棕斑啄木鸟
Pardirallus,美洲属
Parkerthraustes,黄肩厚嘴雀
Parkesia,白眉灶莺
Parmoptila,红额啄花雀
Paroaria,冠蜡属
Paroreomyza,瓦岛管舌雀
Parotia,阿法六线风鸟
Parus,山雀属
Parvipsitta,紫顶属
Passer,麻雀属
Passerculus,稀树属
Passerella,黑狐色雀
Passerina,斑翅属
Pastor,粉红椋鸟
Patagioenas,白顶属
Patagona,巨蜂鸟
Pauxi,盔凤冠雉
Pavo,孔雀属
Pedionomus,领鹑属
Pelagodroma,白脸海燕
Pelargopsis,鹳嘴翡翠属
Pelecanoides,秘鲁鹈燕
Pelecanus,鹈鹕属
Peliperdix,林鹧属
Pellorneum,幽鹛属
Peltohyas,澳洲属
Peltops,盾钟鹊
Penelope,斑尾冠雉
Penelopides,吕宋犀鸟
Penelopina,山冠雉
Peneothello,白翅薮鹟
Percnostola,黑头蚁鸟
Perdicula,丛林属
Perdix,山鹑属
Pericrocotus,山椒鸟属
Periparus,棕枕山雀
Periporphyrus,朱领锡嘴雀
Perisoreus,噪鸦属
Perissocephalus,三色伞鸟
Pernis,蜂鹰属
Petrochelidon,红喉燕
Petroica,查岛鸲鹟
Petronia,石雀属
Petrophassa,栗翅岩鸠
Peucaea,棕翅猛雀
Peucedramus,橄榄绿森莺
Pezopetes,大脚薮雀
Pezophaps,罗德里格斯渡渡鸟
Pezoporus,地鹦属
Phacellodomus,棕额棘雀
Phaenicophaeus,地鹃属
Phaenicophilus,黑顶长尾唐纳雀
Phaenostictus,眼斑蚁鸟
Phaeochroa,鳞胸刀翅蜂鸟
Phaeoptila,暗阔嘴蜂鸟
Phaethon,鹲属
Phaethornis,暗喉隐蜂鸟
Phaetusa,巨嘴燕
Phainopepla,黑丝鹟
Phainoptila,黑黄丝鹟
Phalacrocorax,鸬鹚属
Phalaenoptilus,北美小夜鹰
Phalaropus,瓣蹼鹬属
Phalcoboenus,红腿属
Phapitreron,小褐果鸠
Phaps,铜翅鸠
Pharomachrus,彩绿属
Phasianus,雉属
Phedina,马岛原燕
Phedinopsis,布氏原燕
Phegornis,黑顶属
Phelpsia,白须短嘴霸鹟
Pheucticus,黄色斑翅雀
Pheugopedius,黑喉苇鹪
Phibalura,燕尾伞鸟
Philemon,麦氏吮蜜鸟
Philentoma,棕翅属
Philepitta,施氏裸眉鸫
Philesturnus,北岛鞍背鸦
Philetairus,群织雀
Philodice,红喉林星蜂鸟
Philohydor,小食蝇霸鹟
Philortyx,斑鹑属
Philydor,诺氏拾叶雀
Phimosus,裸脸属
Phlegopsis,黑斑裸眼蚁鸟
Phleocryptes,拟鹩针尾雀
Phlogophilus,厄瓜多尔斑尾蜂鸟
Phodilus,栗鸮属
Phoebastria,加岛属
Phoebetria,乌信属
Phoenicircus,圭亚那红伞鸟
Phoeniconaias,小红属
Phoenicoparrus,安第属
Phoenicopterus,红鹳属
Phoeniculus,栗头属
Phoenicurus,红尾鸲属
Pholia,黄腹紫椋鸟
Pholidornis,拟雀
Phonipara,古巴草雀
Phonygammus,号声极乐鸟
Phragmacia,亚纹山鹪莺
Phrygilus,灰头岭雀
Phylidonyris,月斑澳蜜鸟
Phyllaemulor,棕钩嘴夜鹰
Phyllastrephus,姬旋属
Phyllergates,金头拟缝叶莺
Phyllolais,黄腹莺
Phyllomyias,绿色小霸鹟
Phylloscartes,点颊姬霸鹟
Phylloscopus,柳莺属
Phytotoma,棕尾割草鸟
Piaya,灰腹属
Pica,鹊属
Picathartes,白颈岩鹛
Picoides,啄木鸟属
Piculus,棕翅啄木鸟
Picumnus,姬啄木鸟属
Picus,绿啄木鸟属
Piezorina,灰雀
Pilherodius,蓝嘴黑顶鹭
Pinarochroa,山岩属
Pinarocorys,黑歌百灵
Pinaroloxias,可岛雀
Pinarornis,暗色属
Pinguinus,大海雀
Pinicola,松雀属
Pionites,黑头属
Pionopsitta,红顶属
Pionus,暗色属
Pipile,鸣冠雉
Pipilo,绿尾属
Pipra,绯红冠娇鹟
Pipraeidea,黄胸裸鼻雀
Pipreola,红喉食果伞鸟
Piprites,灰头娇鹟
Piranga,火领丽唐纳雀
Pitangus,大食蝇霸鹟
Pithecophaga,菲律属
Pithys,白羽蚁鸟
Pitohui,杂色林鵙鹟
Pitta,八色鸫属
Pittasoma,黑顶蚁鸫
Pityriasis,棘头属
Platalea,琵鹭属
Platycercus,绿背属
Platylophus,冠鸦
Platyrinchus,桂红冠铲嘴雀
Platysmurus,白翅鹊
Platyspiza,植食树雀
Platysteira,西非疣眼鹟
Plectorhyncha,纵纹吸蜜鸟
Plectrophenax,雪鹀属
Plectropterus,距翅雁
Plegadis,彩鹮属
Plesiodryas,黑喉杂色鹟
Plocealauda,缅甸歌百灵
Plocepasser,白眉织雀
Ploceus,织布鸟属
Pluvialis,斑鸻属
Pluvianellus,短腿属
Pluvianus,蓝腿燕
Pnoepyga,鳞鹪鹛属
Podargus,云斑蛙口夜鹰
Podica,非洲属
Podiceps,䴙䴘属
Podilymbus,斑嘴属
Podoces,地鸦属
Poecile,白眉山雀
Poecilodryas,黑白杂色鹟
Poecilostreptus,蓝腰靓唐纳雀
Poecilotriccus,棕顶哑霸鹟
Poeoptera,斯氏狭尾椋鸟
Poephila,白耳草雀
Pogoniulus,点斑小拟啄木鸟
Pogonocichla,白点属
Pogonornis,褐胸拟啄木鸟
Pogonotriccus,杂色须霸鹟
Poicephalus,非洲属
Poikilocarbo,红腿属
Polemaetus,猛雕属
Polihierax,非洲属
Poliocephalus,灰头属
Poliocrania,栗背蚁鸟
Poliolais,白尾拱翅莺
Poliolimnas,白眉属
Poliolophus,黄肉属
Polioptila,尼格罗蚋莺
Polyboroides,非洲鬣鹰
Polyerata,蓝胸蜂鸟
Polyonymus,铜尾彗星蜂鸟
Polyplectron,孔雀雉属
Polysticta,小绒鸭属
Polystictus,须多斑霸鹟
Polytelis,靓鹦属
Polytmus,白尾金喉蜂鸟
Pomarea,白腹果鹟
Pomatorhinus,钩嘴鹛属
Pomatostomus,灰冠弯嘴鹛
Poodytes,佛莱河蝗莺
Pooecetes,栗肩雀
Poospiza,灰背拟雀
Poospizopsis,棕胁属
Porphyrio,紫水鸡属
Porphyriops,斑胁属
Porphyrolaema,紫喉伞鸟
Porzana,田鸡属
Premnoplex,点斑尾雀
Premnornis,锈翅斑尾雀
Primolius,蓝头属
Prinia,鹪莺属
Prioniturus,布岛属
Prionochilus,黄喉锯齿啄花鸟
Prionodura,金亭鸟
Prionops,长冠属
Priotelus,古巴属
Probosciger,棕树属
Procarduelis,暗胸朱雀
Procellaria,灰风属
Procnias,白钟伞鸟
Prodotiscus,尖嘴属
Progne,棕胸崖燕
Promerops,长尾食蜜鸟
Prosobonia,圣诞属
Prosopeia,绯胸属
Prosthemadera,簇胸吸蜜鸟
Protonotaria,蓝翅黄森莺
Prunella,岩鹨属
Psalidoprocne,方尾锯翅燕
Psaltriparus,短嘴长尾山雀
Psarisomus,阔嘴鸟属
Psarocolius,栗头拟椋鸟
Psephotellus,穆加属
Psephotus,红腰属
Pseudasthenes,乌尾卡纳灶鸟
Pseudastur,灰背属
