Order_SCI,Order_CN
ACCIPITRIFORMES,鹰形目
ANSERIFORMES,雁形目
BUCEROTIFORMES,犀鸟目
CAPRIMULGIFORMES,夜鹰目
CHARADRIIFORMES,鸻形目
CICONIIFORMES,鹳形目
COLUMBIFORMES,鸽形目
CORACIIFORMES,佛法僧目
CUCULIFORMES,鹃形目
FALCONIFORMES,隼形目
GALLIFORMES,鸡形目
GAVIIFORMES,潜鸟目
GRUIFORMES,鹤形目
OTIDIFORMES,鸨形目
PASSERIFORMES,雀形目
PELECANIFORMES,鹈形目
PHAETHONTIFORMES,鹲形目
PHOENICOPTERIFORMES,红鹳目
PICIFORMES,啄木鸟目
PODICIPEDIFORMES,䴙䴘目
PROCELLARIIFORMES,鹱形目
PSITTACIFORMES,鹦鹉目
PTEROCLIFORMES,沙鸡目
STRIGIFORMES,鸮形目
SULIFORMES,鲣鸟目
TROGONIFORMES,咬鹃目
