Family_SCI,Family_CN
Rhipiduridae,扇尾鹟科
Rhodinocichlidae,Rhodinocichlidae
Rhynochetidae,秧鹤科
Rostratulidae,彩鹬科
Sagittariidae,蛇鹫科
Salpornithidae,Salpornithidae
Sapayoidae,Sapayoidae
Sarothruridae,Sarothruridae
Scolopacidae,鹬科
Scopidae,Scopidae
Scotocercidae,树莺科
Semnornithidae,Semnornithidae
Sittidae,䴓科
Spheniscidae,企鹅科
Spindalidae,Spindalidae
Steatornithidae,油鸱科
Stenostiridae,玉鹟科
Stercorariidae,贼鸥科
Strigidae,鸱鸮科
Strigopidae,Strigopidae
Struthionidae,鸵鸟
Sturnidae,椋鸟科
Sulidae,鲣鸟科
Sylviidae,莺鹛科
Teretistridae,Teretistridae
Thamnophilidae,Thamnophilidae
Thinocoridae,籽鹬科
Thraupidae,Thraupidae
Threskiornithidae,鹮科
Tichodromidae,Tichodromidae
Timaliidae,林鹛科
Tinamidae,䳍科
Tityridae,Tityridae
Todidae,短尾鴗科
Trochilidae,蜂鸟科
Troglodytidae,鹪鹩科
Trogonidae,咬鹃科
Turdidae,鸫科
Turnicidae,三趾鹑科
Tyrannidae,乔
Tytonidae,草鸮科
Upupidae,戴胜科
Urocynchramidae,朱鹀科
Vangidae,钩嘴鵙科
Viduidae,Viduidae
Vireonidae,莺雀科
Zeledoniidae,Zeledoniidae
Zosteropidae,绣眼鸟科
